Text,Count
ransfrma,1
현대오토에버,14
“올해,1
rampd에,3
150억,3
투자할,1
것”,2
h3c,1
refrm,2
ecnmy,14
pimizing,1
dailiesedirials,2
유망자격증,1
빅데이터전문가,6
코딩지도사,5
교육과정,3
무료수강,8
이벤트,10
실시해,1
china,5
pakisan,1
afghanisan,1
yrkers,2
may,8
have,11
anidy,3
ess,4
sgges,1
ls,4
angeles,2
dealers,1
creae,1
heir,3
wn,3
viral,3
gallery,1
craf,1
disillers,1
were,1
ming,1
nw,13
hey,5
face,5
friend,1
elderly,1
ge,8
paid,1
영천시,5
경북,2
6개,6
시·군과,1
미래차,2
시장,3
선점,1
cm,6
says,7
21,2
esed,2
nyc,3
anidies,1
vicria’s,1
secre,3
sycamre,1
parners,2
play,3
‘le’s,1
deal’,2
infrasrcre,1
marke,9
share,3
grws,1
올해,4
투입기술중심,1
투자,17
my,4
resaran,1
was,6
life,3
fr,41
20,2
years,4
des,5
wrld,10
anymre,1
모바일,1
서비스,37
선도도시,1
도약,3
날개,1
달았다,1
‘스마트,1
분야’,1
연구,63
개발강화에,1
적극,2
기술중심,5
확대할,1
확대rampd에,1
150억원,4
연구개발비,2
확대…가치사슬,1
강화한다,1
mre,7
han,6
millin,2
filed,1
nemplymen,2
claims,2
las,4
week,4
ecadr,1
ncned,1
예정,1
혼족,1
설문,1
자취,1
필수,1
아이템,1
에어프라이어,1
삶의,1
질·로망,1
동시,1
만족템으,1
확대150억원,1
투입,1
확대…올해,1
‘기술중심,1
확대가치사슬,1
강화,6
김상석,1
웹게이트,1
대표,6
“영상보안의,1
가치와,1
품질,6
높이는,2
기업,9
시민·기업,3
체감하는,3
소프트웨어,2
융합기술개발,1
연구개발rampd에,1
계획,1
wha,28
happened,8
day,8
i’s,3
sn,3
repen,3
saes,3
nder,3
cnrl,1
ampa,1
adviser,1
이화여대,1
여성직장인,1
위한,7
다양한,2
ma,2
과정,2
마련,2
dm,1
nrh,2
sea,1
il,4
mn,2
prpses,1
‘new,1
js,8
영천,1
sw,1
융합기술개발…미래자동차,1
창출,1
admi,1
exi,1
sraegy,1
migh,3
lk,8
like,4
sk그룹,3
최태원,3
회장,7
체인지,3
리더십,2
사회,1
공헌,1
활동,3
앞장서,1
융합기술개발로,1
미래자동차,2
新시장에,1
경영철학,1
1분기,2
사회공헌,2
최다,1
de,8
lasi,4
draws,1
scrn,1
plan,5
jly,1
firewrks,1
live,4
pdaes,6
‘real’,1
small,2
sinesses,6
he’ll,1
help,7
ny,4
dle,3
esing,6
vaccine,2
chief,1
remved,1
afer,7
esining,1
drg,4
prmed,1
reaches,1
ack,8
ag,1
pplis,1
ricks,1
최다…딥,1
빛났다,1
선두주자,1
samsng,1
lg,7
saring,1
ff,1
ver,10
aipwered,1
washers,1
aj,1
research,3
eam,3
ges,3
gaes,1
fndain’s,1
fnd,3
prvide,2
da,1
airlines,2
amakers,1
cnsider,1
hw,29
다음소프트,3
연내,2
코스닥,4
상장,5
추진,10
청신호기술,1
특례,2
기술,4
평가서,2
facek,4
invess,1
57,1
illin,3
indian,1
inerne,4
gian,1
ji,1
ip,1
ffice,3
krea’s,5
respnse,3
knwhw,1
card,1
lansmarch,1
ally,2
we,11
grea,2
leadership,3
here’s,5
lks,1
ie,1
cnservaive,1
grps,1
anilckdwn,1
press,2
smallsiness,1
aid,5
prgram,2
een,1
fiasc,2
wednesday,3
중후장대,1
업계에,1
‘디지털,3
혁신’,1
바람,1
분다,1
spreads,3
pisn,1
hlines,1
see,3
rise,7
accidens,1
clean,1
‘plage,1
ilical,1
scale’,1
hasidic,1
families,3
빅데이터전문가코딩지도사,4
자격증,14
시험대비,2
무료인강,7
제공,4
knw,3
sdies,2
sing,2
wes,1
adams,1
prices,2
neighrhd’s,1
pplariy,1
adping,2
penness,1
crcial,1
ransfrmain,3
pledges,2
과기정통부,6
f팀,1
가동…비대면,1
산업,4
육성5g·ai·데이터,1
디지털,67
pay,4
give,1
away,1
chaic,1
seasn,4
where,3
egin,1
spring,4
cleanp,1
immigrain,2
kim,1
jngn,1
esday,3
califrnia,1
annnces,1
early,2
narrws,1
rmmaes,1
era,1
‘friends’,1
isn’,2
why,7
apple’s,1
ipad,1
gadge,1
ell,2
sry,2
righ,2
hrgh,3
few,1
simple,1
indeph,2
wrapp,2
빅데이터로,2
분석한,1
상위,1
‘가맹하고,1
싶은,1
프랜차이즈’,1
발표,7
포스트,10
코로나시대,1
디지털정부,1
혁신,5
좌담회민·관,1
함께,10
손잡고,1
기술평가서,1
aa,2
다음소프트…연내,1
획득…연내,1
박차,2
ynhap,5
smmary,5
warns,2
hnger,1
gla,1
대한내과학회,1
관절류마티스분과관리위원회,1
연수강좌20200119,1
kreanclear,1
decmmissining,1
fx,1
liidiycrnavirs,1
say,8
anks,3
fled,1
‘firs,1
firs,6
served’,1
exclded,1
frm,7
mrgage,1
servicers,1
crnch,1
isanl,1
deah,4
ll,3
hins,1
rkey,2
hiding,1
wider,1
calamiy,1
ye’s,1
dangers,1
serisly,1
magnifying,1
glass,1
remdesivir,2
resce,3
fas,1
apprvals,1
deepdiving,1
deadly,1
fire,2
rssia’s,1
ndersea,1
agenda,1
안양시,5
4차산업,2
내달,1
8일까지,1
접수…,1
최대,1
5천만원,1
4차,3
산업혁명,3
선도기업,1
업그레이드,1
review,1
delivery,1
herwwa,1
rhers,2
deal,2
kfc,1
sk,7
energy,3
es,8
defy,1
fall,4
fre,2
mmen,1
‘fine,1
ds,1
increases,1
risk,3
diaees,1
hyperlipidemia,1
fcs,8
elecm,3
firms,6
cmmercialize,1
millimeerwave,1
5g,5
esla,1
pdae,1
reverse,1
smmn,1
parking,1
wld,1
released,2
2020,5
sk에너지,20
석유사업,10
기반,30
트랜스포메이션,9
3대,5
전략,3
정유사업에,1
디지털·친환경,1
dna,1
심는다,1
4차산업혁명,2
강소기업,4
기술개발,3
8억원,2
mile,1
inernainal,2
ransfer,1
services,5
eased,1
hana,1
kaka,2
8억,1
경산경찰서,1
daa,9
활용,18
안전,1
심포니,1
프로젝트,2
사설,1
19,1
방역,1
열쇠는,2
4차산업혁명기술,1
적용,1
능력,1
차이였다,1
‘weswrld’,2
episde,2
recap,2
man,1
한국노바티스,4
가톨릭빅데이터통합센터와,5
업무협약,4
체결,8
cd를,1
두자,1
dna로,5
한계를,3
넘는,3
‘딥체인지’,1
추진전략,5
발표…스마트,1
공장,2
8억지원…기술개발↑,1
ecnmy1,1
grwh,5
frecas,2
feriliy,3
sarps,7
10,5
advances,1
ggle,2
ms,4
lcal,4
jrnalism,1
adds,1
changes,1
demand,2
빅데이터전문가·코딩지도사,1
시험,3
관련,2
양질의,2
열어,3
wman,1
wh,6
find,4
anher,2
earh,1
pleads,1
fnding,3
alleviae,1
damage,1
fina,1
apple,1
weekend,2
civil,1
righs,1
isse,1
‘he,1
pain,2
shared,1
중심,3
딥체인지,6
가속화,5
speeds,2
한계,4
전환으로,1
극복,4
위기,1
피어난,1
생존전략…,1
dna’로,1
넘는다,1
비즈니스,2
모델로,1
가속,1
혁신기업으로,1
조경목,3
사장,4
혁신으로,1
돌파,1
“디지털,1
트랜스포메이션으로,1
넘는다”,1
중심으로,1
본격,5
발표…디지털,1
ay,1
sill,3
wan,2
hings,2
dne,1
rle,8
amer,1
eehing,1
necklaces,1
america,5
year,1
ahead,1
대전시,3
빅데이터,43
분석,3
아이디어,6
공모전,3
wedding,1
perfec,2
dae,2
geher,3
fficials,1
cdc,1
errrs,1
cased,1
delays,1
african,1
cnries,1
venilars,2
ha’s,2
nly,4
par,2
prl,1
millins,2
wmen,2
essenial,2
wrkers,4
비즈헬스,1
보건복지부,1
광동제약,1
하나제약,1
노바티스,2
kid’s,1
eczema,1
when,14
specialis,1
preeclampsia,1
sympms,2
reamen,3
prevenin,1
fds,2
avid,5
y’re,1
pregnan,1
mrning,1
sickness,1
dring,1
pregnancy,1
cpe,1
cases,4
sids,1
ain’,1
heavy,2
he’s,1
flaws,1
america’s,2
save,2
midsize,1
siness,11
prend,1
igges,1
hliday,2
hazards,1
kids,1
srprising,1
pll,1
resls,2
peple,2
are,26
happy,1
pick,2
phne,1
erpean,2
car,1
sales,3
decades,1
signaling,1
slmp,1
chars,2
mea,1
cnrir,1
climae,1
change,3
faces,2
majr,2
mealime,1
miserale,1
ry,1
gamers,1
ecme,2
parens,3
finding,1
alance,1
paerniy,1
leave,2
lnglasing,1
enefis,2
dn’,5
american,1
realisic,2
grandparens,1
visi,1
figh,10
agains,3
srprise,1
air,4
amlance,1
ills,1
‘grammie’s,1
aking,2
fd,3
her,5
peple’,1
rcker,1
keeps,2
rcking,1
care,2
ranslain,1
spar,1
prescripin,1
reviving,1
어떻게,1
준비하나…정부,1
비대면,4
육성,2
fmens,1
gvernrs,3
expers,3
warn,3
shra,1
sal,1
khan,1
explains,1
key,3
inealiy,1
2차,1
ic,4
비상대책회의…디지털,1
준비,7
분석·아이디어,1
개최,6
lae,1
nigh,2
sae,3
presers,1
arking,1
wrng,1
flagple,1
rrwings,1
krean,7
faser,1
finance,1
minisryecnmic,1
assessmen,1
언택트와,1
전환,1
scks,2
rally,2
alk,3
repening,4
failed,1
syrian,1
krds,1
liv,1
elecrnics,3
expands,2
amain,1
inelligence,1
wrk,2
payrll,1
march,2
rns,4
wrs,1
decade,2
amid,9
epidemic,1
제2차,4
ic비상대책회의에서는,1
코로나’,3
대비,1
독일의,1
제조,2
분야,3
172부,1
인더스트리,1
40과,1
china’s,2
shrinks,1
ending,2
nearly,2
halfcenry,1
makes,1
invesmen,2
ai,30
ic비상대책회의,2
asiane,4
chnging,1
liangjiang,1
area,1
inelligen,1
develpmen,2
acceler,1
gide,1
niverse,1
milks,1
부동산,3
플랫폼,38
집팔고,2
매도인·공인중개사무소,1
racking,2
rmp’s,4
prmises,2
respnding,1
cnac,2
racing,2
mercry,1
reglains,1
hrsday,7
riefi,1
can’,4
sc,1
players,1
persn,1
rklyn,1
sarp,1
everyne,1
learn,2
ale,3
pssile,1
recveries,1
pgrades,1
sfware,1
ngeie,1
srgery,1
necessary,1
reasfeeding,1
sccess,1
glmy,1
predicin,1
mch,2
pvery,1
alking,2
lain,1
vers,2
vying,1
alen,1
desryed,1
mnh,3
시대,5
맞아,1
ic산업,1
육성한다,1
disancing,4
gidelines,3
준비…5g·ai·데이터,1
가동,4
ffers,1
srge,3
sprs,3
here,1
happen,1
lsing,2
maer,1
한국표준협회,1
드레이퍼,1
아테나와,1
인터뷰김영일,1
한국지능형스마트건축물협회,1
코로나19로,1
가속화언택트,1
키워야,1
secndgenerain,1
midea,2
lwcar,1
rice,1
cker,1
최기영,1
장관,1
중요,1
‘포스트,1
비상대책회의,1
gdp,1
shrank,1
arer,1
germany,1
healh,4
rganizain,1
riain’s,1
lckdwn,3
exended,1
pin,1
pspnes,1
miliar,1
marriage,1
hird,1
wheel,1
child,1
sleep,1
regressins,1
real,3
sm,5
enerainmen,4
signs,1
expansin,1
매물제공,1
전문,6
유재황,1
개인자산,1
토탈케어,1
falls,1
weflly,1
shr,2
seeks,2
end,3
sayahme,3
rder,1
ye,1
hisrians,1
desperaely,1
lack,5
sperm,1
dnr,1
‘ig,1
daa’,1
resre,1
acive,1
managers’,1
mj,1
lrarhdx,1
enclave,1
israel,1
pens,1
siders,1
코로나19에,3
따른,3
jdc,4
첨단강소기업,4
육성사업비,4
선지급,4
결정,3
sahmyk,1
niversiy’s,1
presiden,3
wans,1
sdens,1
‘righen,1
ang,1
prdced,1
smehing,2
raher,1
nhing,1
돕는,2
analysis,1
rehink,1
nainal,2
secriy,1
‘prey,1
caasrphic’,1
reailers,2
race,5
srvive,1
aery,1
indsry,4
reshaped,1
led,1
cal,1
resar,1
rders,4
cver,1
slw,2
virs’s,1
spread,4
울산,1
에너지,2
절감,1
전문기업,1
엔엑스테크놀로지,4
인도,4
스마트,4
에너지사업,1
진출,1
helped,1
rend,1
911,1
recver,1
pa,3
eer,2
lives,2
invesrs,7
cass,1
mve,2
affec,1
ravel,6
ehavir,1
crisis,10
ml,1
emplyees,1
sjecs,1
hge,2
sdy,4
spermicr,2
inrdces,2
indsrys,1
rades,1
prfli,1
sys,1
nice,1
infrmain,2
120,1
likely,1
slid,1
despie,4
cncerns,2
양성하는,3
lanch,4
eynd,1
hpe,2
hlidays,1
near,2
plnge,2
cnvenin,1
hel,1
mnicipal,1
nds,2
privae,2
eiy,1
deserve,1
plic,4
ail,2
hals,1
rganizai,1
cs,4
waiing,1
cnain,1
i’m,1
er,1
dcr,1
nne,1
ever,3
same,1
nicrns,1
llamas,1
pm,2
direcs,1
sep,1
pangv,1
grp,3
㈜하나금융티아이하나금융융합기술원,1
aiigdaa석박사,1
연구원경력직채용,1
하기로,1
ener,1
cncer,2
livesream,1
“eynd,1
live”,1
elw,1
30,1
내일,1
보안,1
전문가들은,1
투표소에서,1
나와,1
패치로,1
바빠질,1
‘krea’s,1
pandemic’,1
airline,1
shape,1
sps,3
highe,1
sreaming,5
srenghen,1
nline,6
fan,2
cmmnica,1
이효섭의,3
ech,6
인사이트,3
⑧속고,1
속이는,1
세상통계학,1
프로그래밍,1
공부해,1
alms,1
arhriis,1
persis,1
lng,2
lckdwns,1
pin’s,1
leak,1
admissin,1
‘we,2
rag,1
a’,1
we’re,2
shpping,2
le’s,2
cnscienis,1
realiy,1
renins,1
fighs,2
fresh,1
cmpliance,1
pinin,1
vers’,1
rn,2
minisersalks,1
lw,1
cpang,2
ecmes,2
n1,1
reailer,1
dnalink,1
sees,1
kis,1
mayr,1
gvernr,2
disagree,1
schl,1
clsre,1
전병서,1
스페셜,1
칼럼,2
4차혁명,1
중국發,1
항모뜨면,1
한국이,1
다친다,1
iech,1
fnders,1
gain,3
fame,1
wealh,1
spply,2
chain,1
sressed,1
5만,1
여건의,1
‘코로나19’,2
민원,2
데이터,5
방역대책,1
수립,3
국민불편,1
해소,2
vr을,1
이용한,1
건강관리,1
솔루션,2
’엠투에스’,1
팁스,2
프로그램,1
선정,2
reme,1
gains,1
mmenm,1
medical,3
sysem,5
팔아주는,1
맞춤형,1
어플리케이션,1
‘집팔고’,1
론칭,1
nesc,1
iie,1
amp,1
nescichei,1
rganize,1
weinar,1
엠투에스,1
최종,1
allies,1
psh,1
ward,1
rge,1
cai,1
premier,1
cmpany,1
‘sper,1
spreader’,1
deriefing,1
snning,1
cllapse,1
dsan,1
indsries,1
invssa,1
phase,1
rials,1
resme,1
fda,1
greenlighs,1
cre,3
reach,1
한국장학진흥원,6
빅데이터전문가amp코딩지도사,3
준비과정,1
financial,5
pspandemic,1
제조업,1
노하우,1
창업기업,1
아이디어…경북,1
새바람,1
failing,1
signals,1
frsrain,1
faci,1
criicism,1
respn,1
casaly,1
india,1
fans,1
religis,1
hared,1
seen,1
cming,1
ehind,1
failre,3
블루골드,1
물의시대,1
23,2
김영준,1
부장,1
물에서,1
에너지를,1
얻는다,1
csly,1
shing,1
dwn,2
earlier,1
resaring,1
means,1
way,1
married,1
krea,10
infecin,2
res,1
ahriies,1
emphasize,1
persnal,1
precin,1
laes,1
gage,1
crprae,2
earnings,4
2021년도,1
정부연구개발rampd,1
투자방향,1
기준안은…rampd,1
예산,1
24조원,1
crnavirspanic,1
ying,2
evidne,1
spprs,1
cmpleed,1
wrlds,2
highreslin,1
geneic,1
ringing,1
indsrysandard,1
servers,3
elc,1
ndsdemand,1
frecasing,1
replicans,1
hey’re,2
hearing,1
weird,1
al,2
yankvic,1
진흥원,1
바이오헬스,1
rampd,3
대응,2
중장기,1
ciies,2
fling,1
fld,1
rles,1
science,3
helping,2
개최…빅데이터전문가코딩지도사,1
rillin,2
injecin,1
fed’s,1
far,2
exceeds,1
2008,1
changed,4
se,5
pheaval,1
yrk’s,1
renal,1
50,1
spells,1
lngerm,1
while,1
spends,1
hlds,1
hyndai,1
shipyard,1
applies,1
anms,1
sailing,1
echnlgy,3
carrier,1
116,1
percen,1
prfi,2
zmlin,1
delivers,1
salm,1
mik,2
sp_daejensejng,1
picres,1
vr,1
cnens,1
specially,1
fearing,1
kreas,2
daejensejng,1
sp,1
rism,1
deficicrnavirs,1
코로나19와,1
marahn,1
answers,1
message,1
fen,1
ransiin,1
ifc,1
wellness,1
mean,1
dw,1
sck,5
rade,1
ernie,3
sanders,3
india’s,1
needs,2
cnfrn,1
panpicn,1
vs,1
slcracy,1
heres’,1
manager,1
anxisly,1
awais,1
chair,1
chey,1
gives,1
pep,1
rely,1
pas,1
lwpwer,1
chips,1
hink,1
rains,1
call,1
kaie,1
prer,1
‘his,1
parisan,1
crisis’,1
prn,1
hanks,1
raffic,2
jams,1
cnagis,1
ndersanding,1
fighing,1
erpe,3
shns,1
nnfaceface,1
fears,1
100,1
gvrecmmended,1
awai,1
riss,1
pliics,1
pshes,2
wachdg,2
31,1
ren,2
‘i’s,1
ging,3
wrse’,1
scieniss,2
ndersand,1
cean’s,1
spell,1
creaive,2
eyes,1
wing,1
demcraic,1
pary,1
shw,1
riginaed,1
wall,3
sree,1
rallies,1
recvery,1
효성,2
조현준,2
“특이점의,1
시대에,1
맞춰,1
고객요구,1
대응해야”,1
더벨‘합작,1
청산’,1
campc신약연구소,1
밸류에이션,1
3배,1
껑충,1
wiscnsin,1
pandas,1
‘i,1
cmfr’,1
prcessed,1
cmeack,1
eenagers,1
imes,2
sscripin,1
passver,2
screens,1
lwrch,1
gds,1
capred,1
hle,2
image,1
makers,1
인재,3
crippled,1
css,2
clim,1
exprers,1
iny,1
ecnmies,1
digiizain,1
spervisin,1
wwa,1
aplgizes,1
fee,1
rning,2
crner,1
eing,1
삼성웰스토리주,1
삼성그룹,1
현대위아주,1
포스코,2
niy,1
caine,1
spain’s,1
acceleraed,1
warnings,1
wen,1
nheeded,1
americans,3
alarming,1
raes,1
sa,1
phshp,1
dream,1
한국미쓰비시전기오토메이션,1
smic에,1
한국efcry,1
모델라인,1
구축,42
완료…“단,1
sree’s,1
fades,1
aacks,3
ss,1
scial,4
crmles,1
slwdwn,1
infecins,1
⑦천일야화,1
왕자의,1
양탄자,1
망원경,1
사과로,1
베트남,1
무역,1
28억달러,1
흑자·8대품목,1
수출,1
68↑·쌀,1
수출값,1
급등‥온,1
pimism,1
exend,1
광화문뷰,1
데이터3법과,1
빅브라더,1
all,6
hear,1
gne,1
hese,1
hllywd,1
agens,1
signing,1
inflencers,1
wesern,1
spremacy,1
경제와삶,1
농식품,1
스타트업의,1
미래,4
ris,1
jhnsn,2
mnday,2
nwhere,1
clse,2
frever,1
lif,1
prlem,1
everywhere,1
geing,1
yng,1
adls,1
rdened,1
facing,1
nain,2
shelerinplace,1
fser,1
family,1
argainhning,1
flck,1
verseas,3
markes,1
gv,2
again,2
emphasizes,1
imprance,1
cma,1
prepared,2
chew,1
milize,1
capailiies,1
crnavirsweekend,1
mvemen,1
메가시티megaciies의,1
전염병,1
확산을,1
방지할,1
있는,2
산업혁명의,1
주요,1
servicegrwh,1
eric,2
nam,1
lands,1
illard’s,1
“scial,1
50”,1
scksinvesmen,1
1년⑤k,1
5g의,1
꽃은,1
2…韓,1
주도,3
더벨hyndai,1
hcn,1
500,1
인하대,11
ai융합연구단,11
설립,10
1년,7
새로운,9
미래가,6
열린다,7
alexa,1
ecnmiss,1
rying,3
answer,1
esins,1
searches,1
emerging,2
reaks,1
‘digial,1
nderakers’,1
sier,1
‘ans’,1
differen,1
조명,1
hngary’s,1
leader,1
graed,1
pwers,1
fear,1
연구자·센터,1
체계적,1
연결,1
톡톡,1
jersey’s,1
paien,1
srvived,1
enchmark,1
rae,1
nchanged,1
lised,1
firms’,1
shrink,1
17,1
1년미래,1
산학협력,5
모델,38
만들어,1
asia,2
passengersdrp,1
prmes,1
nprven,1
animalaria,1
cnr,1
1주년…융합,1
강원혁신센터,2
창업,2
발굴,3
나서,5
순천대,4
통해,4
gs,2
im에,4
5명,4
취업,4
hrs,1
세종시,4
주네이버와,1
도시첨단산업단지세종테크밸리,1
입주,2
계약을,1
체결클,1
picking,1
sides,1
greg,1
elemedicine,1
arrives,1
‘10,1
week’,1
ries,1
keep,4
wheels,1
wrsening,1
crnav,1
기가지니,74
2종,40
출시,47
adminisrain,1
prcess,1
mdels,1
ffer,1
picre,1
deails,1
2025,1
smell,1
virsplaged,1
hrive,1
preend,1
kill,1
disaser,1
incme,1
deermined,1
insrance,1
paymens,3
nies,1
lef,1
anxiey,1
asan,1
cener,1
csmized,1
paiens,1
esalishing,1
hree,1
ks,1
explre,1
machinery,1
mind,1
2633,1
philippines,1
남양주시,1
민원처리,1
예방시스템,1
일상생활,1
속의,1
ai노믹스,1
스피커,14
인공지능,7
스피커로,1
느낄,1
7가,1
비즈마켓,1
삼성전자,1
sk텔레콤,1
르노삼성,1
배달의민족,1
hspialiy,1
reail,3
killed,1
elcs,1
differeniaed,1
fea,1
caps,1
rlen,1
decline,1
1주년…,1
빅테이터·블록체인,1
성과,1
samsng1,1
xinha,1
silk,1
rad,1
gclsi,1
ild,1
60gw,1
mdle,1
facry,1
미니·기가지니,2
테이블v,2
더블랙,9
fll,2
deplymen,2
expedie,2
esai로,1
wine,1
deliveries,1
pins,1
silly,1
faler,1
lse,1
graph,2
ridership,1
merplian,1
areas,1
heaer,1
chains,1
rll,1
plans,1
rerelease,1
favries,1
spr,2
취득,1
amazn,1
making,2
vide,1
games,1
advisrs,1
racin,1
rmil,1
‘기가지니,3
미니’,3
테이블,6
layffs,2
hiing,2
mndanish,1
ciy,1
spplies,2
nears,1
1400,1
졸업생,3
i오늘k,1
출시…nhn,1
세계,2
자폐인의,1
기념,1
블루,1
주gs,2
제품,2
출시···,6
집안,5
어디서나,15
ai와,15
‘기가지니’,2
신규,2
pensin,1
even,4
wrse,3
“집안,3
mnclmian,1
출시…집안,2
2020년,1
빅토리6기,1
참가자,1
17일까지,1
모집,1
신제품,1
kdx,1
incain,1
pr,1
미니,4
출시…,2
똑똑해진,1
미니·테이블v,2
출시‘미니’와,1
‘테이블v,1
더블랙’,1
esae,2
‘caasrphic’,1
deaes,1
mask,2
ses,1
vice,1
hearingimpaired,1
형제,1
늘었다모델,1
함께”,4
출시…“집안,1
출시…한,1
손에,1
잡히는,1
한국언론진흥재단,6
국민권익위와,1
차세대,8
민원분석,4
시스템,4
운영,1
출시···“집안,1
강화기가지니,1
미니·테이블,1
ai스피커,2
미니·더블랙,1
만능,2
리모컨,3
기능,4
추가,3
컴팩트한,1
‘만능,1
리모컨’,1
smar,3
farming,1
innvaive,1
slin,2
출시···집안,1
출시…만능,1
더해,1
sr새상품,1
함께…,2
선봬,1
실내,1
함께…k,1
출시집안,1
출시···기가지니,1
media,1
scapega,1
case,1
mrarim,1
flrida,1
residens,1
animals,1
sex,1
gns,1
gde,1
knew,1
‘iger,1
king’,1
penial,1
feeling,1
srveys,1
aim,1
deec,1
미래성장사업부장에,1
민동순,2
상무,2
영입,1
예비창업자,1
ice,1
cream,1
cnslidaing,1
pmmeled,1
‘grea,1
nwinding’,1
세종,11
네이버,13
데이터센터,15
건립,9
순항,8
marks,1
1s,1
anniversary,1
cmmercializain,1
expand,1
finech,1
eachers,1
skepical,1
classes,1
본격화…,1
세종테크밸리,1
입주계약,1
nes,1
crnacma,1
wnkish,1
‘네이버,1
건립’,1
속도,3
digiize,1
impran,2
dcmens,1
‘never,1
ernie’,1
hrew,1
primary,1
cannais,1
chasing,1
high,1
if,2
assme,1
illness,1
프레제니우스메디칼케어코리아,7
김희경,9
대표이사,11
선임,9
사업,1
‘igry’,1
herald,1
‘wih,1
fried,1
chicken,1
waer,1
eas,1
eer’,1
권익위,2
연계,3
빅데이터를,12
통한,5
공공,1
filming,1
sspended,1
indefiniely,2
계약절차,1
완료,2
속도전,1
2022년,1
준공,1
rainingcrnavirs,1
입주·토지매매계약,1
creaes,1
‘freefrall’,1
masks,1
신임,2
프레제니우스메디칼케어코리아김희경,1
세종시·네이버,1
계약…건립,1
fresinis,1
ce,3
본궤도…입주,1
계약,1
effr,1
preven,2
mainains,1
seady,1
enerprise,2
cnsrcin,1
sies,1
esalished,1
garanee,1
pressre,1
prec,1
shrages,1
ser,1
인사,2
프레제니우스메디칼코리아,1
dnald,1
fmc코리아,1
increased,1
rapidly,1
55,1
yan,1
araced,1
zhngshan,1
코로나19,72
확산예측,59
얼라이언스,5
grps2019,1
fx’s,1
fake,1
cnagin,1
senae,1
alegrnd,1
ads,1
hles,1
credi,1
raise,1
differs,1
safey,2
ick,1
pach,1
happens,1
리뷰,1
데이터스트림즈,1
테라원,1
슈퍼쿼리,1
인터뷰,1
축적한,1
기술력으로,1
토털,1
제공한다,1
spark,1
ignied,1
‘nh,1
rm’,1
changing,2
‘r,2
siain,1
apcalypic’,1
angladesh,1
garmen,1
rin,1
구현모號,3
출범이통3사,1
5g·비통신,1
먹거리,1
경쟁,1
펼친다,1
언론재단,2
민원분석시스템,5
revl,1
전북도,1
공공데이터,2
경진대회,2
전라북도,1
zm,1
fracking,1
nce,1
lifed,1
pennsylvania,1
drag,1
jails,1
구미,1
수퍼,1
팩토리에서,1
최고,1
수준,1
라면,1
ai·i,1
구현한,1
미래형,1
n번방,1
사건,1
계기,1
실효성,1
성범죄,1
권익위와,2
시작,2
chases,1
indnesia’s,1
fishing,1
flees,1
saking,1
claim,1
sea’s,1
riches,1
민원분석을,2
정확하게,2
plafrm’s,1
game,1
gamep,1
lanched,1
japan,1
singap,1
국회휴먼네트워크,1
전문가,1
서평4차,1
로봇산업의,1
뉴스빅데이터,1
본격화,1
뉴스,2
빅데이터’로,1
sgh,1
passenger,1
said,1
국민권익위원회,1
indsrial,1
aciviy,1
hammered,1
fe,1
srg,1
hspial,1
ship,1
van,1
ggh,1
heaers,1
